order_id,order_line_id,customer_id,product_id,location_id,order_datetime,quantity,unit_price
ORD0001,1,C430,P002,ST002,2024-07-21 19:54:18,4,412.37
ORD0001,2,C430,P024,ST002,2024-07-21 19:54:18,3,1871.60
ORD0002,1,C074,P009,ST004,2024-07-23 10:04:16,5,909.20
ORD0002,2,C074,P023,ST004,2024-07-23 10:04:16,2,1200.78
ORD0002,3,C074,P021,ST004,2024-07-23 10:04:16,3,273.25
ORD0003,1,C456,P001,ST004,2024-04-10 17:04:02,5,1335.96
ORD0003,2,C456,P002,ST004,2024-04-10 17:04:02,1,525.60
ORD0003,3,C456,P004,ST004,2024-04-10 17:04:02,2,1344.74
ORD0004,1,C027,P012,ST004,2024-05-18 13:09:15,1,652.19
ORD0005,1,C906,P015,ST004,2024-03-28 18:45:51,5,1731.22
ORD0005,2,C906,P002,ST004,2024-03-28 18:45:51,4,1547.59
ORD0006,1,C499,P015,ST003,2024-02-24 21:43:08,3,1227.72
ORD0006,2,C499,P011,ST003,2024-02-24 21:43:08,4,568.38
ORD0007,1,C437,P007,WH003,2024-03-17 03:40:31,2,83.93
ORD0007,2,C437,P017,WH003,2024-03-17 03:40:31,4,1352.68
ORD0008,1,C126,P015,ST002,2024-04-12 18:48:02,3,822.15
ORD0009,1,C271,P023,WH003,2024-04-17 07:55:00,1,543.39
ORD0010,1,C867,P017,WH001,2024-03-10 21:20:17,3,1791.28
ORD0010,2,C867,P013,WH001,2024-03-10 21:20:17,5,1280.96
ORD0010,3,C867,P003,WH001,2024-03-10 21:20:17,4,860.49
ORD0011,1,C557,P025,WH002,2024-01-19 12:20:44,1,1568.61
ORD0011,2,C557,P022,WH002,2024-01-19 12:20:44,4,1180.85
ORD0011,3,C557,P020,WH002,2024-01-19 12:20:44,4,421.50
ORD0012,1,C392,P025,WH002,2024-01-02 04:03:03,3,612.66
ORD0012,2,C392,P007,WH002,2024-01-02 04:03:03,3,365.97
ORD0013,1,C758,P015,WH001,2024-11-28 13:23:47,1,1394.14
ORD0013,2,C758,P008,WH001,2024-11-28 13:23:47,5,1600.90
ORD0013,3,C758,P003,WH001,2024-11-28 13:23:47,3,926.21
ORD0014,1,C839,P012,WH002,2024-11-29 04:17:14,5,1635.41
ORD0014,2,C839,P021,WH002,2024-11-29 04:17:14,1,614.18
ORD0014,3,C839,P010,WH002,2024-11-29 04:17:14,1,987.63
ORD0015,1,C274,P010,ST002,2024-04-17 02:57:39,1,1987.27
ORD0015,2,C274,P025,ST002,2024-04-17 02:57:39,1,220.36
ORD0015,3,C274,P001,ST002,2024-04-17 02:57:39,1,1941.74
ORD0016,1,C273,P019,ST004,2024-08-03 03:20:36,2,1344.51
ORD0016,2,C273,P011,ST004,2024-08-03 03:20:36,5,1420.08
ORD0016,3,C273,P024,ST004,2024-08-03 03:20:36,2,444.92
ORD0017,1,C208,P021,ST003,2024-07-11 01:30:42,2,1823.87
ORD0018,1,C455,P015,WH003,2024-10-01 08:18:03,5,360.51
ORD0018,2,C455,P006,WH003,2024-10-01 08:18:03,4,795.37
ORD0019,1,C019,P013,ST004,2024-01-17 06:15:01,5,1059.77
ORD0020,1,C819,P013,WH001,2024-12-25 22:13:01,1,568.89
ORD0021,1,C270,P009,ST004,2024-06-07 12:02:15,2,734.40
ORD0022,1,C490,P002,WH003,2024-03-03 14:21:54,5,815.54
ORD0023,1,C023,P004,WH004,2024-02-09 03:06:09,2,1070.04
ORD0023,2,C023,P022,WH004,2024-02-09 03:06:09,4,1765.40
ORD0023,3,C023,P001,WH004,2024-02-09 03:06:09,3,98.69
ORD0024,1,C312,P015,WH001,2024-05-08 15:32:46,3,766.49
ORD0025,1,C064,P003,ST001,2024-12-31 16:35:14,5,1003.99
ORD0025,2,C064,P019,ST001,2024-12-31 16:35:14,4,1170.88
ORD0025,3,C064,P016,ST001,2024-12-31 16:35:14,3,79.18
ORD0026,1,C647,P023,WH004,2024-03-30 09:44:17,3,198.65
ORD0026,2,C647,P001,WH004,2024-03-30 09:44:17,3,479.49
ORD0027,1,C834,P001,WH001,2024-03-24 08:28:47,4,1575.12
ORD0027,2,C834,P019,WH001,2024-03-24 08:28:47,1,1977.20
ORD0027,3,C834,P008,WH001,2024-03-24 08:28:47,3,305.88
ORD0028,1,C250,P006,ST001,2024-08-31 09:40:28,5,820.52
ORD0028,2,C250,P003,ST001,2024-08-31 09:40:28,2,1280.88
ORD0029,1,C661,P013,ST004,2024-09-26 05:55:48,4,623.04
ORD0029,2,C661,P020,ST004,2024-09-26 05:55:48,2,183.47
ORD0030,1,C149,P024,WH004,2024-06-10 12:27:42,1,83.86
ORD0030,2,C149,P003,WH004,2024-06-10 12:27:42,2,1644.82
ORD0031,1,C821,P008,ST004,2024-07-31 09:39:35,2,116.71
ORD0032,1,C792,P020,WH003,2024-05-30 11:57:36,1,1043.38
ORD0032,2,C792,P003,WH003,2024-05-30 11:57:36,4,1191.29
ORD0032,3,C792,P011,WH003,2024-05-30 11:57:36,5,426.49
ORD0033,1,C758,P025,WH003,2024-10-13 14:09:58,4,274.65
ORD0033,2,C758,P022,WH003,2024-10-13 14:09:58,5,170.95
ORD0034,1,C393,P017,ST003,2024-09-22 09:06:49,1,1011.86
ORD0034,2,C393,P021,ST003,2024-09-22 09:06:49,2,366.77
ORD0035,1,C996,P007,WH003,2024-02-08 14:44:15,1,1130.05
ORD0036,1,C578,P018,ST001,2024-01-18 07:36:57,5,65.84
ORD0036,2,C578,P025,ST001,2024-01-18 07:36:57,1,38.11
ORD0037,1,C449,P001,ST004,2024-10-25 05:02:30,2,1719.64
ORD0037,2,C449,P017,ST004,2024-10-25 05:02:30,3,919.33
ORD0037,3,C449,P023,ST004,2024-10-25 05:02:30,3,579.38
ORD0038,1,C122,P023,ST001,2024-08-30 22:16:36,3,943.62
ORD0038,2,C122,P001,ST001,2024-08-30 22:16:36,1,94.41
ORD0039,1,C826,P018,WH001,2024-01-15 01:53:08,2,325.42
ORD0039,2,C826,P014,WH001,2024-01-15 01:53:08,3,1003.49
ORD0040,1,C380,P004,ST001,2024-09-08 20:11:27,3,1972.49
ORD0041,1,C049,P001,ST001,2024-04-20 16:22:46,2,1762.46
ORD0041,2,C049,P018,ST001,2024-04-20 16:22:46,2,687.58
ORD0041,3,C049,P003,ST001,2024-04-20 16:22:46,5,105.49
ORD0042,1,C126,P013,WH003,2024-07-04 12:06:27,1,977.47
ORD0043,1,C641,P003,ST001,2024-09-24 03:05:37,5,188.19
ORD0043,2,C641,P013,ST001,2024-09-24 03:05:37,4,1410.80
ORD0043,3,C641,P011,ST001,2024-09-24 03:05:37,5,1968.92
ORD0044,1,C454,P006,ST004,2024-10-20 12:43:38,2,83.16
